token,score
destroyed,23.934
loaves,23.809
samuel,23.809
idols,23.782
chains,23.653
greetings,23.549
zacharias,23.549
concerning,23.503
disobedient,23.491
parables,23.491
persecuted,23.491
star,23.491
tempted,23.491
little,23.375
peoples,23.314
zion,23.314
built,23.144
taught,23.134
lust,23.131
necessary,23.131
possible,23.131
evident,23.024
natural,23.024
east,22.961
absent,22.944
colt,22.944
crucify,22.944
bull,22.838
beware,22.788
care,22.788
just,22.518
kings,22.477
punishment,22.436
saved,22.328
flocks,22.273
nebuchadnezzar,22.273
houses,22.099
come,21.902
reason,21.754
baal,21.750
absalom,21.707
fat,21.707
accuse,21.653
known,21.603
dwelt,21.549
border,21.468
ammon,21.425
sitting,21.375
male,21.373
chariots,21.343
signs,21.342
aquila,21.341
baptize,21.341
baptizing,21.341
barracks,21.341
beelzebub,21.341
bethsaida,21.341
cephas,21.341
collector,21.341
commend,21.341
denarii,21.341
denarius,21.341
nathanael,21.341
paralytic,21.341
philippi,21.341
praetorium,21.341
reconciled,21.341
seats,21.341
sect,21.341
sober,21.341
thessalonica,21.341
uncircumcision,21.341
unfruitful,21.341
belongs,21.305
condemnation,21.148
ahab,21.142
passing,21.130
forgiving,21.063
righteously,20.905
holy,20.899
family,20.874
news,20.874
generations,20.785
strong,20.665
pious,20.577
shekels,20.577
court,20.473
vinedressers,20.469
inheritance,20.422
thank,20.354
desolate,20.331
human,20.331
judgments,20.331
wants,20.331
atonement,20.295
deliver,20.285
joy,20.205
means,20.182
struck,20.079
ages,20.072
approved,20.072
tribulations,20.072
worry,20.072
fight,20.058
unrighteousness,20.018
laid,20.015
man,19.861
dwelling,19.805
prophets,19.763
alms,19.723
consolation,19.723
advantage,19.679
agree,19.679
bold,19.679
eagerly,19.679
melchizedek,19.679
trespasses,19.679
week,19.679
death,19.630
suffered,19.596
burn,19.582
seeing,19.542
testified,19.408
dust,19.397
lot,19.129
wall,19.013
witness,18.990
face,18.984
praise,18.982
punish,18.933
replied,18.933
wealth,18.933
disbelief,18.882
freely,18.847
overcome,18.847
prophecy,18.847
equal,18.811
lips,18.706
rebuked,18.704
refuge,18.651
pagans,18.600
upright,18.600
got,18.562
oh,18.547
break,18.526
wood,18.436
jordan,18.431
astonished,18.398
gardens,18.317
seed,18.282
best,18.228
listen,18.228
gifts,18.174
water,18.156
sayings,18.153
swine,18.153
acts,18.089
consumed,18.089
egyptians,18.089
gad,18.089
half,18.063
falsehood,18.035
property,18.035
sweet,17.983
astray,17.897
wives,17.859
chaldeans,17.807
adoption,17.784
alexander,17.784
alphaeus,17.784
aristarchus,17.784
cheer,17.784
corinth,17.784
corruptible,17.784
crows,17.784
deacons,17.784
debtors,17.784
diana,17.784
disqualified,17.784
doctrines,17.784
earnest,17.784
election,17.784
gaius,17.784
galatia,17.784
hardness,17.784
herodias,17.784
incorruptible,17.784
infirmity,17.784
intently,17.784
joses,17.784
laodicea,17.784
lawyers,17.784
lystra,17.784
matthew,17.784
necessity,17.784
pamphylia,17.784
paralyzed,17.784
principalities,17.784
priscilla,17.784
roman,17.784
sanctification,17.784
spat,17.784
suffers,17.784
tetrarch,17.784
tolerable,17.784
troas,17.784
tychicus,17.784
plain,17.752
envy,17.730
release,17.730
cattle,17.710
god,17.652
accusation,17.519
accused,17.519
disobedience,17.519
opportunity,17.519
hebron,17.470
jinn,17.470
rams,17.470
selah,17.470
guide,17.230
incense,17.214
amorites,17.188
dan,17.188
defeated,17.188
pillars,17.152
bow,17.091
faces,17.091
fact,17.091
trees,16.987
idle,16.973
joppa,16.973
temptation,16.973
testing,16.973
jehoshaphat,16.964
recompense,16.964
donkeys,16.905
injustice,16.905
leaders,16.880
livestock,16.682
sustenance,16.682
eleazar,16.623
territory,16.623
exceeding,16.619
fervent,16.619
greets,16.619
maimed,16.619
object,16.619
samaritans,16.619
wanting,16.619
ways,16.614
tent,16.605
wilderness,16.582
finally,16.563
gladly,16.563
persecution,16.563
weakness,16.563
sing,16.415
guardian,16.401
cares,16.380
compelled,16.380
diligence,16.380
fragments,16.380
gentleness,16.380
preparation,16.380
stripes,16.380
camped,16.341
existence,16.341
parents,16.335
canaan,16.330
remnant,16.317
cried,16.220
south,16.209
touched,16.179
masters,16.125
plagues,16.125
offense,16.061
deal,16.059
zedekiah,16.059
utterly,16.055
weak,16.010
perfect,15.981
son,15.973
ready,15.924
commanded,15.843
told,15.843
worldly,15.839
esau,15.781
bethel,15.776
streams,15.776
trust,15.643
painful,15.558
abimelech,15.494
fury,15.494
lived,15.489
looking,15.417
fault,15.367
fornication,15.367
godly,15.367
loosed,15.367
openly,15.367
sorrowful,15.367
possess,15.332
instead,15.232
beneficent,15.212
grave,15.212
lebanon,15.212
skin,15.212
minds,15.195
captivity,15.062
reuben,14.997
walls,14.997
garden,14.958
paradise,14.958
carved,14.930
leader,14.930
sacred,14.930
oil,14.923
established,14.877
old,14.858
appeared,14.835
mighty,14.787
good,14.776
burned,14.691
covetousness,14.655
leading,14.655
captive,14.650
lawful,14.593
enemy,14.431
captains,14.411
ram,14.411
wickedness,14.384
covered,14.374
lambs,14.372
ishmael,14.365
circumcised,14.352
tax,14.318
lift,14.254
offer,14.247
aground,14.227
alpha,14.227
annas,14.227
appearing,14.227
arrested,14.227
athens,14.227
babe,14.227
bartholomew,14.227
betrayer,14.227
brotherly,14.227
changers,14.227
choked,14.227
citizen,14.227
clubs,14.227
conformed,14.227
covetous,14.227
crete,14.227
crowed,14.227
disorderly,14.227
doubting,14.227
elements,14.227
fables,14.227
forbidding,14.227
galileans,14.227
guest,14.227
hearers,14.227
hosanna,14.227
imitate,14.227
immortality,14.227
incorruption,14.227
loosing,14.227
meekness,14.227
mysteries,14.227
omega,14.227
pertain,14.227
pontius,14.227
principles,14.227
proconsul,14.227
propitiation,14.227
resisted,14.227
sailing,14.227
samaritan,14.227
sexually,14.227
silvanus,14.227
spitefully,14.227
stewardship,14.227
strengthening,14.227
tarsus,14.227
thyatira,14.227
unworthy,14.227
joseph,14.195
fine,14.182
hills,14.155
tents,14.155
abner,14.083
jehu,14.083
pleasant,14.083
syrians,14.083
word,14.045
destroy,14.033
baskets,14.013
female,13.986
mercy,13.985
assembly,13.879
bless,13.879
meet,13.879
benefit,13.874
bashan,13.801
haman,13.801
seal,13.794
cover,13.717
famine,13.717
reported,13.656
numbered,13.631
wait,13.628
noah,13.595
waste,13.594
daniel,13.541
jehoiada,13.519
mordecai,13.519
reed,13.502
cornerstone,13.483
customs,13.483
descending,13.483
finding,13.483
laborers,13.483
marries,13.483
possession,13.449
daily,13.339
heal,13.317
entrance,13.314
length,13.314
wise,13.222
assurance,13.200
authorities,13.200
boats,13.200
cloths,13.200
dared,13.200
depth,13.200
dish,13.200
endured,13.200
exhorting,13.200
farther,13.200
hundredfold,13.200
marketplaces,13.200
mediator,13.200
owe,13.200
partake,13.200
physician,13.200
pleading,13.200
pretense,13.200
robber,13.200
romans,13.200
steadfastly,13.200
supposing,13.200
wiped,13.200
bears,13.190
begotten,13.190
husbands,13.190
counsel,13.182
cloak,13.147
convinced,13.147
divorces,13.147
effective,13.147
marketplace,13.147
member,13.147
sower,13.147
unprofitable,13.147
understanding,13.096
act,13.033
abram,12.955
calamity,12.955
camels,12.955
canaanites,12.955
group,12.955
satisfied,12.955
shield,12.955
evil,12.823
fought,12.777
ancient,12.753
flour,12.753
abominations,12.712
gates,12.701
bridegroom,12.685
casting,12.685
jewish,12.685
fortified,12.673
laban,12.673
plans,12.673
plant,12.673
rebellious,12.673
spoil,12.673
possessed,12.662
repent,12.604
seventy,12.581
walking,12.529
width,12.473
severe,12.436
midst,12.416
lest,12.407
articles,12.391
chambers,12.391
hope,12.390
promise,12.340
corruption,12.275
perceive,12.275
sinner,12.275
commandment,12.262
ran,12.244
bowed,12.234
dry,12.234
reward,12.215
beauty,12.193
images,12.193
job,12.193
plunder,12.193
worship,12.178
drive,12.160
lands,12.116
happiness,12.109
needy,12.109
universe,12.109
bound,12.068
goats,12.049
sacrifice,12.038
unless,11.977
elisha,11.913
placed,11.913
fever,11.899
perdition,11.899
broken,11.893
horses,11.886
try,11.885
asks,11.875
cedar,11.827
gibeah,11.827
pursued,11.827
age,11.751
pride,11.693
west,11.693
cherubim,11.633
edge,11.633
consume,11.610
pour,11.610
turns,11.610
forgiven,11.553
arrows,11.545
azariah,11.545
confidence,11.534
fast,11.500
rain,11.394
blasphemed,11.361
withered,11.361
going,11.360
altars,11.354
rivers,11.335
present,11.325
rachel,11.263
sides,11.263
judge,11.259
rock,11.245
babes,11.163
confession,11.163
taxes,11.163
thinks,11.163
striving,11.154
worshiped,11.152
command,11.145
led,11.133
manner,11.133
belief,11.074
produce,11.074
shechem,11.074
sworn,11.074
confess,11.033
bones,11.031
suppose,10.995
esther,10.981
joash,10.981
bore,10.831
worse,10.829
filled,10.812
lie,10.794
delight,10.785
say,10.768
seventh,10.766
tribes,10.766
places,10.755
enter,10.703
benaiah,10.699
dwellers,10.699
pestilence,10.699
self,10.676
alleluia,10.670
apostleship,10.670
appealed,10.670
arimathea,10.670
barn,10.670
begging,10.670
bernice,10.670
betraying,10.670
bishop,10.670
blasphemous,10.670
bodily,10.670
buildings,10.670
cana,10.670
chained,10.670
claudius,10.670
communion,10.670
convict,10.670
convicted,10.670
convulsed,10.670
crumbs,10.670
cyrene,10.670
decapolis,10.670
deceitfulness,10.670
demas,10.670
derbe,10.670
dissipation,10.670
earthquakes,10.670
edify,10.670
epaphras,10.670
ephesians,10.670
famines,10.670
fastings,10.670
flavor,10.670
foretold,10.670
fornicators,10.670
freewoman,10.670
gadarenes,10.670
galilean,10.670
gallio,10.670
golgotha,10.670
grafted,10.670
guarding,10.670
healings,10.670
herodians,10.670
hospitable,10.670
hymns,10.670
iconium,10.670
illuminated,10.670
impart,10.670
imploring,10.670
italy,10.670
justification,10.670
justus,10.670
landed,10.670
lawyer,10.670
legion,10.670
luke,10.670
lysias,10.670
macedonians,10.670
mistaken,10.670
nicodemus,10.670
noises,10.670
oracles,10.670
passion,10.670
passions,10.670
perga,10.670
persecutions,10.670
phoenicia,10.670
plank,10.670
pontus,10.670
progress,10.670
resists,10.670
reviling,10.670
sailors,10.670
salutation,10.670
seasoned,10.670
selfish,10.670
siloam,10.670
simplicity,10.670
skiff,10.670
sparrows,10.670
speck,10.670
sphere,10.670
spiritually,10.670
sponge,10.670
tanner,10.670
temperate,10.670
testifying,10.670
thefts,10.670
thessalonians,10.670
tiberias,10.670
trance,10.670
twin,10.670
uninformed,10.670
unwashed,10.670
zeus,10.670
adultery,10.656
lose,10.656
bear,10.648
feet,10.607
height,10.516
midian,10.516
accusers,10.509
diseases,10.509
exalts,10.509
gentle,10.509
hypocrisy,10.509
knelt,10.509
laying,10.509
cross,10.494
deserving,10.448
example,10.448
encamped,10.417
ephod,10.417
males,10.417
unseen,10.417
valor,10.417
vineyards,10.417
foundation,10.335
strike,10.291
rod,10.249
restore,10.237
zadok,10.236
flock,10.179
mount,10.146
ephah,10.135
harlotry,10.135
mizpah,10.135
shimei,10.135
dying,10.127
fitting,10.127
thieves,10.127
promises,10.113
beasts,10.088
abomination,10.080
forsake,10.080
elders,10.067
appeal,10.007
approve,10.007
arrayed,10.007
bush,10.007
copper,10.007
deceives,10.007
foods,10.007
hindered,10.007
lepers,10.007
murderers,10.007
mustard,10.007
uproar,10.007
worker,10.007
chariot,9.964
plague,9.964
transgressions,9.957
heads,9.915
abide,9.913
loose,9.913
appointed,9.878
caleb,9.853
hadad,9.853
heritage,9.853
merari,9.853
seir,9.853
virtuous,9.853
slain,9.844
judgment,9.840
answering,9.838
babies,9.838
beheaded,9.838
blaspheme,9.838
craftiness,9.838
denies,9.838
dissension,9.838
dragged,9.838
fleshly,9.838
imputed,9.838
intending,9.838
knock,9.838
livelihood,9.838
mina,9.838
partaker,9.838
perplexed,9.838
pertaining,9.838
preaches,9.838
