system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.992955135335558,0.995354023415722,0.99415313225058,0.9985656913367756,0.9974212034383955,0.997993119266055,0.9963295785343628,0.9951959544879899,0.995762443868193,0.9959501350688988,0.9959903937807025,0.995969565128276
baseline,dev,0.5258358662613982,0.5785953177257525,0.5509554140127388,0.47277936962750716,0.4252577319587629,0.44776119402985076,0.5804195804195804,0.5665529010238908,0.5734024179620034,0.5263449387694953,0.5234686502361353,0.5240396753348643
baseline,test,0.5265060240963856,0.5846153846153846,0.5540412044374009,0.4839476813317479,0.4195876288659794,0.44947542794036444,0.5701064322073114,0.5607646791078744,0.5653969710876549,0.526853379211815,0.5216558975297462,0.5229712011551401
improved,train,0.9906820723071189,0.9879204608808771,0.9892993393505164,0.9968235633843489,0.9891117478510029,0.992952682295412,0.9878018108651911,0.993046776232617,0.9904173496406506,0.9917691488522197,0.9900263283214991,0.9908897904288597
improved,dev,0.6471571906354515,0.6471571906354515,0.6471571906354515,0.5796610169491525,0.44072164948453607,0.5007320644216691,0.6388888888888888,0.7064846416382252,0.6709886547811994,0.6219023654911643,0.598121160586071,0.6062926366127733
improved,test,0.6603641456582633,0.6307692307692307,0.6452275059869996,0.5807644882860666,0.48556701030927835,0.5289163391353172,0.6269087907552621,0.6913973600364133,0.6575757575757576,0.6226791415665307,0.6025778670383075,0.6105732008993582
